name_last,name_first,bpid,key_mlbam,key_bbref,key_fangraphs,mlb_played_last
Allen,John,18406,110151,allenjo01,1000149,1914
Allen,Johnny,18407,110152,allenjo02,1000150,1944
Allen,Kim,18408,110153,allenki01,1000151,1981
Allen,Lloyd,18409,110154,allenll01,1000152,1975
Allen,Logan,105477,663531,allenlo01,18555,2021
Allen,Luke,335,282598,allenlu01,1586,2003
Allen,Myron,18410,110155,allenmy01,1000153,1888
Allen,Neil,18411,110156,allenne01,1000154,1989
,,,-1,allenne02,-1,1947
Allen,Nick,18412,110139,allenni01,1000155,1920
Allen,Pete,18413,110150,allenpe01,1000156,1893
Allen,Rod,18414,110162,allenro02,1000158,1988
Allen,Ron,18415,110163,allenro01,1000157,1972
Allen,Sled,18416,110143,allensl01,1000159,1910
,,,-1,allento02,-1,1925
,,,-1,allento01,-1,1928
Allenson,Gary,18417,110164,allenga01,1000141,1985
Allensworth,Jermaine,16679,110165,allenje01,1000148,1999
Alley,Gene,18418,110166,alleyge01,1000160,1973
Allgeyer,Nick,111794,680430,allgeni01,24486,2021
Allie,Gair,18419,110167,alliega01,1000162,1954
Allietta,Bob,18420,110168,alliebo01,1000161,1975
,,,-1,allis02,-1,1941
Allison,Andy,18421,110169,allisan01,1000163,1872
Allison,Art,18422,110170,allisar01,1000164,1876
Allison,Bill,18423,110175,allisbi01,1000165,1872
Allison,Bob,18424,110176,allisbo01,1000166,1970
Allison,Dana,18000,110171,allisda01,1000167,1991
Allison,Doug,18425,110172,allisdo01,1000168,1883
Allison,Mack,18426,110173,allisma01,1000169,1913
Allison,Milo,18427,110174,allismi01,1000170,1917
,,,-1,allismo01,-1,1925
Allred,Beau,16680,110177,allrebe01,1000171,1991
,,,-1,,-1,
Almada,Mel,18428,110178,almadme01,1000172,1939
Almanza,Armando,484,150355,almanar01,507,2005
Almanzar,Carlos,16681,110179,almanca01,308,2005
Almeida,Rafael,18429,110180,almeira01,1000173,1913
Almon,Bill,18430,110181,almonbi01,1000174,1988
Almonte,Abraham,50910,501659,almonab01,5486,2021
Almonte,Edwin,32021,407824,almoned01,1764,2003
Almonte,Erick,16596,400095,almoner01,808,2011
Almonte,Hector,16682,150356,almonhe01,1729,2003
Almonte,Miguel,69448,602083,almonmi01,14139,2018
Almonte,Yency,100720,622075,almonye01,15068,2021
Almonte,Zoilo,50911,501660,almonzo01,6732,2014
Almora,Albert,70339,546991,almoral01,14109,2021
Aloma,Luis,18431,110182,alomalu01,1000175,1953
Alomar,Roberto,539,110183,alomaro01,860,2004
Alomar,Sandy,809,110184,alomasa02,221,2007
Alomar,Sandy,18432,110185,alomasa01,1000176,1978
Alonso,Pete,101603,624413,alonspe01,19251,2021
,,,-1,alonsro01,-1,1930
Alonso,Yonder,58012,475174,alonsyo01,2530,2019
Alou,Felipe,18433,110186,aloufe01,1000177,1974
Alou,Jesus,18434,110187,alouje01,1000178,1979
Alou,Matty,18435,110188,alouma01,1000179,1974
Alou,Moises,221,110189,aloumo01,261,2008
,,,-1,,-1,
Alston,Dell,18437,110194,alstode01,1000181,1980
Alston,Garvin,16683,110191,alstoga01,1000182,1996
Alston,Tom,18438,110192,alstoto01,1000183,1957
Alston,Walter,18439,110193,alstowa01,1000184,1936
Altamirano,Porfi,18440,110195,altampo01,1000185,1984
Altavilla,Dan,104719,656186,altavda01,16507,2021
Alten,Ernie,18441,110196,altener01,1000186,1920
Altenburg,Jesse,18442,110197,altenje01,1000187,1917
Altherr,Aaron,59584,571437,altheaa01,11270,2019
Altizer,Dave,18443,110198,altizda01,1000188,1911
,,,434138,,-1,
Altman,George,18444,110199,altmage01,1000189,1967
Altobelli,Joe,18445,110200,altobjo01,1000190,1961
Altrock,Nick,18446,110201,altroni01,1000191,1933
Altuve,Jose,55877,514888,altuvjo01,5417,2021
Alusik,George,18447,110202,alusige01,1000192,1964
Alvarado,Jose,100568,621237,alvarjo03,17780,2021
Alvarado,Luis,18448,110203,alvarlu01,1000196,1977
Alvarez,Abe,45373,433877,alvarab01,6259,2006
Alvarez,Clemente,16684,345593,alvarcl01,1000193,2000
Alvarez,Dario,55880,516714,alvarda01,14239,2017
Alvarez,Eddy,104966,657193,alvared01,16959,2021
Alvarez,Gabe,16685,134080,alvarga01,1000194,2000
Alvarez,Henderson,55886,506693,alvarhe01,5669,2017
Alvarez,Jose,50878,501625,alvarjo02,5358,2021
Alvarez,Jose,18449,110206,alvarjo01,1000195,1989
Alvarez,Juan,1248,235094,alvarju01,1432,2003
Alvarez,Orlando,18450,110205,alvaror01,1000197,1976
Alvarez,Ossie,18451,110207,alvaros01,1000198,1959
Alvarez,Pedro,59218,476883,alvarpe01,2495,2018
Alvarez,R.J.,100166,571439,alvarrj01,13401,2015
Alvarez,Rogelio,18452,110208,alvarro01,1000199,1962
Alvarez,Tavo,16686,110204,alvarta01,1000200,1996
Alvarez,Tony,700,407887,alvarto01,1587,2004
Alvarez,Victor,336,407874,alvarvi01,1559,2003
Alvarez,Wilson,1026,110209,alvarwi01,1193,2005
Alvis,Max,18453,110210,alvisma01,1000201,1970
Alvord,Billy,18454,110211,alvorbi01,1000202,1893
Alyea,Brant,18455,110212,alyeabr01,1000203,1972
Alzolay,Adbert,102443,640470,alzolad01,17859,2021
Amalfitano,Joey,18456,110213,amalfjo01,1000204,1967
Amaral,Rich,16687,110214,amarari01,1000205,2000
Amarista,Alexi,55889,506560,amarial01,9063,2017
Amaro,Ruben,16688,110215,amaroru02,1000207,1998
Amaro,Ruben,18457,110216,amaroru01,1000206,1969
Ambler,Wayne,18458,110217,amblewa01,1000208,1939
Ambres,Chip,31477,407876,ambrech01,2042,2008
Ambriz,Hector,52005,459932,ambrihe01,559,2014
Amburgey,Trey,105488,664011,amburtr01,18425,2021
Amelung,Ed,18459,110218,amelued01,1000209,1986
Ames,Red,18460,110219,amesre01,1000210,1919
Ames,Steve,60681,571441,amesst01,9615,2013
Amezaga,Alfredo,863,407792,amezaal01,1,2011
Amole,Doc,18461,110220,amoledo01,1000211,1898
Amor,Vicente,18462,110221,amorvi01,1000213,1957
Amoros,Sandy,18463,110222,amorosa01,1000212,1960
Ancker,Walter,18464,110223,anckewa01,1000214,1915
,,,-1,ander08,-1,1940
Andersen,Larry,17883,110224,anderla02,1000236,1994
,,,-1,ander07,-1,1938
Anderson,Alf,18465,110225,anderal01,1000215,1946
Anderson,Allan,18466,110226,anderal02,1000216,1991
,,,-1,,-1,
Anderson,Andy,18467,110227,anderan01,1000217,1949
,,,-1,anderbi02,-1,1930
Anderson,Bill,18468,110257,anderbi01,1000218,1925
Anderson,Bill,28102,121323,robinbi01,-1,1889
,,,-1,anderbi03,-1,1947
Anderson,Bob,18469,110253,anderbo01,1000219,1963
,,,-1,anderbo02,-1,1920
Anderson,Brady,16689,110229,anderbr01,364,2002
Anderson,Brett,57286,474463,anderbr04,8223,2021
Anderson,Brian,70928,605119,anderbr06,18289,2021
Anderson,Brian,279,110230,anderbr02,44,2005
Anderson,Brian,45380,435042,anderbr03,6144,2009
Anderson,Bryan,46972,457762,anderbr05,9871,2015
,,,-1,anderbu02,-1,1925
Anderson,Bud,18470,110245,anderbu01,1000220,1983
,,,-1,anderc02,-1,1920
Anderson,Chase,59304,502624,anderch01,6895,2021
Anderson,Cody,68741,594736,anderco01,12799,2019
Anderson,Craig,18471,110250,andercr01,1000221,1964
Anderson,Dave,18473,110231,anderda02,1000223,1992
Anderson,Dave,18472,110232,anderda01,1000222,1890
Anderson,Drew T.,46975,449776,anderdr01,5578,2006
Anderson,Drew,101448,623454,anderdr02,15130,2021
Anderson,Dwain,18474,110233,anderdw01,1000224,1974
,,,-1,anderfa01,-1,1938
Anderson,Ferrell,18475,110235,anderfe01,1000225,1953
Anderson,Fred,18476,110243,anderfr01,1000226,1918
Anderson,Garret,864,110236,anderga01,2,2010
Anderson,George,18477,110237,anderge01,1000227,1918
Anderson,Goat,18478,110234,andergo01,1000228,1907
Anderson,Hal,18479,110239,anderha01,1000229,1932
Anderson,Harry,18480,110240,anderha02,1000230,1961
Anderson,Ian,108822,666120,anderia01,19951,2021
Anderson,Jason,31786,425427,anderja01,1661,2005
Anderson,Jim,18481,110241,anderji01,1000231,1984
Anderson,Jimmy,701,150247,anderji02,977,2004
Anderson,John,18483,110242,anderjo02,1000233,1962
Anderson,John,18482,110244,anderjo01,1000232,1908
Anderson,Josh,45381,461811,anderjo03,6032,2009
Anderson,Justin,103794,605121,anderju01,16201,2019
Anderson,Kent,18484,110246,anderke01,1000234,1990
Anderson,Larry,18485,110247,anderla01,1000235,1977
Anderson,Lars,55897,502249,anderla03,9018,2012
,,,-1,anderle01,-1,1933
Anderson,Marlon,652,136724,anderma02,947,2009
Anderson,Matt,1407,150183,anderma01,459,2005
Anderson,Mike,18486,110248,andermi01,1000237,1979
Anderson,Mike,17966,110249,andermi02,1000238,1993
Anderson,Nick,107196,623433,anderni01,18337,2021
,,,-1,,-1,
,,,-1,anderor01,-1,1947
Anderson,Red,18487,110228,anderre01,1000239,1941
Anderson,Rick,18488,110252,anderri01,1000240,1980
Anderson,Rick,18489,110251,anderri02,1000241,1988
,,,-1,anderro01,-1,1944
Anderson,Scott,18271,110254,andersc01,1000242,1995
Anderson,Shaun,109159,641312,andersh01,19453,2021
Anderson,Sparky,18490,110238,andersp01,1000243,1959
Anderson,Tanner,105494,664196,anderta01,18029,2021
Anderson,Tim,102503,641313,anderti01,15172,2021
Anderson,Tyler,65947,542881,anderty01,12880,2021
Anderson,Varney,18491,110255,anderva01,1000244,1896
Anderson,Walter,18492,110256,anderwa01,1000245,1919
Anderson,Wingo,18493,110258,anderwi01,1000246,1910
Andino,Robert,32118,435180,andinro01,4900,2016
Andrade,Steve,31595,430644,andrast01,7018,2006
Andre,John,18494,110259,andrejo01,1000255,1955
Andreoli,John,70572,607430,andrejo03,13012,2021
Andres,Ernie,18495,110260,andreer01,1000250,1946
,,,-1,,-1,
Andress,Brad,112045,427004,,-1,
Andrew,Kim,18496,110261,andreki01,1000257,1975
,,,-1,andre06,-1,1939
,,,-1,andre04,-1,1932
,,,-1,andre05,-1,1938
Andrews,Clayton,16690,150467,andrecl01,1000247,2000
,,,-1,andrecu01,-1,1944
Andrews,Ed,18497,110265,andreed01,1000248,1891
Andrews,Elbert,18498,110263,andreel01,1000249,1925
Andrews,Fred,18499,110264,andrefr01,1000251,1977
Andrews,Hub,18500,110266,andrehu01,1000252,1948
Andrews,Ivy,18501,110267,andreiv01,1000253,1938
,,,-1,andreja01,-1,1942
Andrews,Jeff,84619,429725,,-1,
Andrews,Jim,18502,110268,andreji01,1000254,1890
Andrews,John,18503,110269,andrejo02,1000256,1973
Andrews,Mike,18504,110270,andremi01,1000258,1973
Andrews,Nate,18505,110271,andrena01,1000259,1946
Andrews,Rob,18506,110272,andrero01,1000260,1979
Andrews,Shane,1301,110262,andresh01,1588,2002
Andrews,Stan,18507,110273,andrest01,1000261,1945
Andrews,Wally,18508,110274,andrewa01,1000262,1888
Andriese,Matt,69156,542882,andrima01,12022,2021
Andrus,Bill,18509,110276,andrubi01,1000263,1937
Andrus,Elvis,46980,462101,andruel01,8709,2021
Andrus,Fred,18510,110275,andrufr01,1000264,1884
Andrus,Wiman,18511,110277,andruwi01,1000265,1885
Andujar,Joaquin,18512,110278,andujjo01,1000266,1988
Andujar,Luis,16691,110279,andujlu01,1000267,1998
Andujar,Miguel,100349,609280,andujmi01,15878,2021
Angelini,Norm,18513,110280,angelno01,1000268,1973
Angle,Matt,55904,518408,anglema01,8136,2011
Angley,Tom,18514,110281,angleto01,1000269,1929
Ankenman,Pat,18515,110282,ankenpa01,1000270,1944
Ankiel,Rick,16692,150449,ankieri01,1142,2013
Anna,Dean,58021,542883,annade01,8353,2015
Annis,Bill,18516,110283,annisbi01,1000271,1884
Anson,Cap,18517,110284,ansonca01,1000272,1897
Anthony,Eric,16693,110285,anthoer01,1000273,1997
,,,-1,,-1,
Antolick,Joe,18518,110286,antoljo01,1000274,1944
Antolin,Dustin,58022,542884,antoldu01,7119,2016
Antone,Tejay,103747,622088,antonte01,16233,2021
Antonelli,John,18519,110288,antonjo01,1000276,1945
Antonelli,Johnny,18520,110287,antonjo02,1000277,1961
Antonelli,Matt,51974,453327,antonma01,9343,2008
Antonello,Bill,18521,110289,antonbi01,1000275,1953
Aoki,Norichika,51312,493114,aokino01,13075,2017
Aparicio,Luis,18522,110290,aparilu01,1000278,1973
Apodaca,Bob,18523,110291,apodabo01,1000279,1977
Aponte,Luis,18524,110292,apontlu01,1000280,1984
Aponte,Rick,112142,506608,,-1,
Apostel,Sherten,107413,665947,apostsh01,21794,2020
Appier,Kevin,866,110293,appieke01,3,2004
Applegate,Fred,18525,110294,applefr01,1000282,1904
,,,-1,applere01,-1,1947
Appleton,Ed,18526,110295,appleed01,1000281,1916
Appleton,Pete,18527,110296,applepe01,1000283,1945
Appling,Luke,18528,110297,applilu01,1000284,1950
Aquino,Aristides,69634,606157,aquinar01,15482,2021
Aquino,Greg,32160,425628,aquingr01,1899,2009
Aquino,Jayson,67599,593969,aquinja01,13150,2017
Aquino,Luis,17884,110298,aquinlu01,1000285,1995
Aragon,Jack,18530,110300,aragoja01,1000287,1941
Arano,Victor,103580,644364,aranovi01,15915,2019
,,,-1,,-1,
Araujo,Elvis,59874,542587,araujel01,12854,2016
Araujo,Pedro,69801,606478,araujpe01,17697,2019
Arauz,Jonathan,105509,660620,arauzjo01,20275,2021
Archdeacon,Maurice,18531,110301,archdma01,1000288,1925
Archer,Chris,50101,502042,archech01,6345,2021
Archer,Fred,18532,110302,archefr01,1000289,1937
Archer,Jim,18533,110304,archeji02,1000291,1962
Archer,Jimmy,18534,110303,archeji01,1000290,1918
